"ppt","stim1","RWAscore","usvalence","response","XP"
"869599__20160428_154858.csv","B4",0.241692688436088,0.5,7,"XP03"
"869599__20160428_154858.csv","B5",0.241692688436088,0.5,5,"XP03"
"869599__20160428_154858.csv","M1",0.241692688436088,-0.5,7,"XP03"
"869599__20160428_154858.csv","M2",0.241692688436088,-0.5,4,"XP03"
"869599__20160428_154858.csv","M4",0.241692688436088,-0.5,4,"XP03"
"869599__20160428_154858.csv","B2",0.241692688436088,0.5,7,"XP03"
"869599__20160428_154858.csv","B8",0.241692688436088,0.5,5,"XP03"
"869599__20160428_154910.csv","B8",1.88260888597273,0.5,6,"XP03"
"869599__20160428_154910.csv","M7",1.88260888597273,-0.5,1,"XP03"
"869599__20160428_154910.csv","M3",1.88260888597273,-0.5,1,"XP03"
"869599__20160428_154910.csv","M2",1.88260888597273,-0.5,1,"XP03"
"869599__20160428_154910.csv","B2",1.88260888597273,0.5,7,"XP03"
"869599__20160428_154910.csv","B3",1.88260888597273,0.5,7,"XP03"
"869599__20160428_154910.csv","M6",1.88260888597273,-0.5,1,"XP03"
"869599__20160428_154910.csv","B7",1.88260888597273,0.5,9,"XP03"
"869599__20160428_154910.csv","B4",1.88260888597273,0.5,8,"XP03"
"869599__20160428_154910.csv","M4",1.88260888597273,-0.5,1,"XP03"
"869599__20160428_154910.csv","B1",1.88260888597273,0.5,8,"XP03"
"869599__20160428_154910.csv","M8",1.88260888597273,-0.5,1,"XP03"
"869599__20160428_154910.csv","B6",1.88260888597273,0.5,8,"XP03"
"869599__20160428_154910.csv","M1",1.88260888597273,-0.5,1,"XP03"
"869599__20160428_154910.csv","M5",1.88260888597273,-0.5,1,"XP03"
"869599__20160428_154910.csv","B5",1.88260888597273,0.5,8,"XP03"
"869599__20160428_155120.csv","M6",-0.641877571775948,-0.5,3,"XP03"
"869599__20160428_155120.csv","B6",-0.641877571775948,0.5,9,"XP03"
"869599__20160428_155120.csv","M3",-0.641877571775948,-0.5,3,"XP03"
"869599__20160428_155120.csv","B5",-0.641877571775948,0.5,9,"XP03"
"869599__20160428_155120.csv","M4",-0.641877571775948,-0.5,3,"XP03"
"869599__20160428_155120.csv","B3",-0.641877571775948,0.5,9,"XP03"
"869599__20160428_155120.csv","B1",-0.641877571775948,0.5,8,"XP03"
"869599__20160428_155120.csv","M8",-0.641877571775948,-0.5,2,"XP03"
"869599__20160428_155120.csv","B8",-0.641877571775948,0.5,8,"XP03"
"869599__20160428_155120.csv","M1",-0.641877571775948,-0.5,3,"XP03"
"869599__20160428_155120.csv","B7",-0.641877571775948,0.5,9,"XP03"
"869599__20160428_155120.csv","M2",-0.641877571775948,-0.5,4,"XP03"
"869599__20160428_155120.csv","M7",-0.641877571775948,-0.5,4,"XP03"
"869599__20160428_155120.csv","B4",-0.641877571775948,0.5,9,"XP03"
"869599__20160428_155120.csv","B2",-0.641877571775948,0.5,8,"XP03"
"869599__20160428_155120.csv","M5",-0.641877571775948,-0.5,1,"XP03"
"869599__20160428_155319.csv","B4",-0.389428926001081,0.5,8,"XP03"
"869599__20160428_155319.csv","M7",-0.389428926001081,-0.5,1,"XP03"
"869599__20160428_155319.csv","M5",-0.389428926001081,-0.5,2,"XP03"
"869599__20160428_155319.csv","B6",-0.389428926001081,0.5,9,"XP03"
"869599__20160428_155319.csv","M2",-0.389428926001081,-0.5,2,"XP03"
"869599__20160428_155319.csv","B7",-0.389428926001081,0.5,9,"XP03"
"869599__20160428_155319.csv","M1",-0.389428926001081,-0.5,2,"XP03"
"869599__20160428_155319.csv","B2",-0.389428926001081,0.5,9,"XP03"
"869599__20160428_155319.csv","B3",-0.389428926001081,0.5,8,"XP03"
"869599__20160428_155319.csv","M6",-0.389428926001081,-0.5,2,"XP03"
