"ppt","stim1","RWAscore","usvalence","response","XP"
"Greebles-4330-1","B7",1.74864687039801,0.5,8,"XP02"
"Greebles-4330-1","B8",1.74864687039801,0.5,7,"XP02"
"Greebles-4330-1","M1",1.74864687039801,-0.5,4,"XP02"
"Greebles-4330-1","M2",1.74864687039801,-0.5,4,"XP02"
"Greebles-4330-1","M3",1.74864687039801,-0.5,2,"XP02"
"Greebles-4330-1","M4",1.74864687039801,-0.5,3,"XP02"
"Greebles-4330-1","M5",1.74864687039801,-0.5,2,"XP02"
"Greebles-4330-1","M6",1.74864687039801,-0.5,2,"XP02"
"Greebles-4330-1","M7",1.74864687039801,-0.5,1,"XP02"
"Greebles-4330-1","M8",1.74864687039801,-0.5,2,"XP02"
"Greebles-4808-1","B1",-1.02083649064252,-0.5,6,"XP02"
"Greebles-4808-1","B2",-1.02083649064252,-0.5,6,"XP02"
"Greebles-4808-1","B3",-1.02083649064252,-0.5,7,"XP02"
"Greebles-4808-1","B4",-1.02083649064252,-0.5,6,"XP02"
"Greebles-4808-1","B5",-1.02083649064252,-0.5,6,"XP02"
"Greebles-4808-1","B6",-1.02083649064252,-0.5,6,"XP02"
"Greebles-4808-1","B7",-1.02083649064252,-0.5,7,"XP02"
"Greebles-4808-1","B8",-1.02083649064252,-0.5,6,"XP02"
"Greebles-4808-1","M1",-1.02083649064252,0.5,6,"XP02"
"Greebles-4808-1","M2",-1.02083649064252,0.5,3,"XP02"
"Greebles-4808-1","M3",-1.02083649064252,0.5,5,"XP02"
"Greebles-4808-1","M4",-1.02083649064252,0.5,5,"XP02"
"Greebles-4808-1","M5",-1.02083649064252,0.5,5,"XP02"
"Greebles-4808-1","M6",-1.02083649064252,0.5,5,"XP02"
"Greebles-4808-1","M7",-1.02083649064252,0.5,6,"XP02"
"Greebles-4808-1","M8",-1.02083649064252,0.5,3,"XP02"
"Greebles-4871-1","B1",0.445360582849526,0.5,2,"XP02"
"Greebles-4871-1","B2",0.445360582849526,0.5,1,"XP02"
"Greebles-4871-1","B3",0.445360582849526,0.5,1,"XP02"
"Greebles-4871-1","B4",0.445360582849526,0.5,2,"XP02"
"Greebles-4871-1","B5",0.445360582849526,0.5,1,"XP02"
"Greebles-4871-1","B6",0.445360582849526,0.5,2,"XP02"
"Greebles-4871-1","B7",0.445360582849526,0.5,2,"XP02"
"Greebles-4871-1","B8",0.445360582849526,0.5,2,"XP02"
"Greebles-4871-1","M1",0.445360582849526,-0.5,6,"XP02"
"Greebles-4871-1","M2",0.445360582849526,-0.5,6,"XP02"
"Greebles-4871-1","M3",0.445360582849526,-0.5,7,"XP02"
"Greebles-4871-1","M4",0.445360582849526,-0.5,6,"XP02"
"Greebles-4871-1","M5",0.445360582849526,-0.5,7,"XP02"
"Greebles-4871-1","M6",0.445360582849526,-0.5,7,"XP02"
"Greebles-4871-1","M7",0.445360582849526,-0.5,6,"XP02"
"Greebles-4871-1","M8",0.445360582849526,-0.5,7,"XP02"
"Greebles-5140-1","B1",2.23737922822869,0.5,8,"XP02"
"Greebles-5140-1","B2",2.23737922822869,0.5,6,"XP02"
"Greebles-5140-1","B3",2.23737922822869,0.5,8,"XP02"
"Greebles-5140-1","B4",2.23737922822869,0.5,8,"XP02"
"Greebles-5140-1","B5",2.23737922822869,0.5,6,"XP02"
"Greebles-5140-1","B6",2.23737922822869,0.5,3,"XP02"
"Greebles-5140-1","B7",2.23737922822869,0.5,6,"XP02"
"Greebles-5140-1","B8",2.23737922822869,0.5,5,"XP02"
"Greebles-5140-1","M1",2.23737922822869,-0.5,1,"XP02"
"Greebles-5140-1","M2",2.23737922822869,-0.5,2,"XP02"
"Greebles-5140-1","M3",2.23737922822869,-0.5,1,"XP02"
